id,Date,Drink,Food,Dishes
1,10/28,FALSE,TRUE,FALSE
2,10/28,FALSE,FALSE,TRUE
3,10/28,FALSE,FALSE,FALSE
4,10/28,TRUE,FALSE,FALSE
5,10/28,TRUE,FALSE,FALSE
6,10/28,FALSE,TRUE,FALSE
7,10/28,FALSE,TRUE,FALSE
8,10/28,FALSE,FALSE,TRUE
9,10/28,FALSE,TRUE,FALSE
10,10/28,FALSE,FALSE,TRUE
11,10/28,TRUE,FALSE,FALSE
12,10/28,FALSE,FALSE,FALSE
13,10/28,FALSE,TRUE,FALSE
14,10/28,FALSE,TRUE,FALSE
15,10/28,FALSE,FALSE,TRUE
16,10/28,FALSE,TRUE,TRUE
17,10/28,FALSE,FALSE,TRUE
18,10/29,FALSE,TRUE,FALSE
19,10/29,FALSE,TRUE,FALSE
20,10/29,TRUE,FALSE,TRUE
21,10/29,FALSE,TRUE,FALSE
22,10/29,FALSE,TRUE,FALSE
23,10/29,FALSE,TRUE,TRUE
24,10/29,FALSE,TRUE,FALSE
25,10/29,FALSE,TRUE,FALSE
26,10/29,FALSE,FALSE,TRUE
27,10/29,FALSE,TRUE,FALSE
28,10/29,FALSE,FALSE,TRUE
29,10/30,FALSE,TRUE,FALSE
30,10/30,TRUE,FALSE,TRUE
31,10/30,TRUE,TRUE,FALSE
32,10/30,TRUE,FALSE,FALSE
33,10/30,FALSE,TRUE,FALSE
34,10/30,FALSE,TRUE,TRUE
35,10/30,FALSE,TRUE,TRUE
36,10/30,FALSE,TRUE,FALSE
37,10/31,FALSE,TRUE,TRUE
38,10/31,FALSE,TRUE,TRUE
39,10/31,FALSE,TRUE,TRUE
40,10/31,FALSE,TRUE,FALSE
41,10/31,FALSE,TRUE,FALSE
42,10/31,FALSE,TRUE,FALSE
43,10/31,FALSE,FALSE,TRUE
44,10/31,TRUE,FALSE,FALSE
45,10/31,FALSE,TRUE,FALSE
46,10/31,FALSE,TRUE,FALSE
47,11/1,TRUE,TRUE,TRUE
48,11/1,FALSE,FALSE,TRUE
49,11/1,FALSE,FALSE,TRUE
50,11/1,TRUE,FALSE,FALSE
51,11/1,FALSE,TRUE,FALSE
52,11/1,FALSE,FALSE,TRUE
53,11/1,TRUE,FALSE,FALSE
54,11/1,FALSE,FALSE,TRUE
55,11/1,FALSE,TRUE,FALSE
56,11/1,FALSE,TRUE,FALSE
57,11/1,FALSE,FALSE,TRUE
58,11/2,FALSE,TRUE,FALSE
59,11/2,FALSE,TRUE,FALSE
60,11/2,FALSE,FALSE,TRUE
61,11/2,TRUE,FALSE,FALSE
62,11/2,TRUE,FALSE,FALSE
63,11/2,TRUE,FALSE,FALSE
64,11/2,FALSE,TRUE,FALSE
65,11/2,FALSE,TRUE,TRUE
66,11/2,FALSE,TRUE,FALSE
67,11/2,FALSE,FALSE,TRUE
68,11/2,TRUE,FALSE,TRUE
